disease_set,disease,experiment
bladder disease,Carcinoma in situ of large intestine,dz:190
bladder disease,in situ carcinoma,dz:655
bladder disease,invasive ductal carcinoma,dz:606
bladder disease,invasive ductal carcinoma,dz:626
bladder disease,nasopharynx carcinoma,dz:613
bladder disease,nasopharynx carcinoma,dz:774
bladder disease,nasopharynx carcinoma,dz:775
bladder disease,nasopharynx carcinoma,dz:776
bladder disease,nasopharynx carcinoma,dz:777
bladder disease,nasopharynx carcinoma,dz:778
bladder disease,nasopharynx carcinoma,dz:808
bladder disease,synovial sarcoma,dz:22
bladder disease,Urothelial carcinoma in situ,dz:229
bladder urothelial carcinoma,invasive ductal carcinoma,dz:606
bladder urothelial carcinoma,invasive ductal carcinoma,dz:626
blepharitis,allergic contact dermatitis,dz:925
blepharitis,allergic contact dermatitis,dz:926
blepharitis,allergic contact dermatitis,dz:927
blepharitis,allergic contact dermatitis,dz:928
blepharitis,discoid lupus erythematosus,dz:689
blepharitis,lupus erythematosus,dz:739
blepharitis,ulcerative colitis,dz:249
blepharitis,ulcerative colitis,dz:454
blepharitis,ulcerative colitis,dz:710
blepharitis,ulcerative colitis,dz:759
blepharitis,ulcerative colitis,dz:760
blepharitis,ulcerative colitis,dz:810
blepharitis,ulcerative colitis,dz:923
blepharitis,ulcerative colitis,dz:924
blood protein disease,monoclonal gammopathy of uncertain significance,dz:563
blood protein disease,sickle cell anemia,dz:109
blood protein disease,sickle cell anemia,dz:481
blood protein disease,sickle cell anemia,dz:505
blood protein disease,sickle cell anemia,dz:506
blood protein disease,sickle cell anemia,dz:507
bone development disease,arthropathy,dz:271
bone development disease,bronchopulmonary dysplasia,dz:918
bone development disease,bronchopulmonary dysplasia,dz:919
bone development disease,morbid obesity,dz:583
bone development disease,obesity,dz:154
bone development disease,obesity,dz:236
bone development disease,Williams-Beuren syndrome,dz:903
bone disease,ankylosing spondylitis,dz:202
bone disease,arthritis,dz:574
bone disease,arthritis,dz:575
bone disease,arthritis,dz:576
bone disease,arthritis,dz:577
bone disease,arthritis,dz:578
bone disease,arthritis,dz:579
bone disease,arthritis,dz:580
bone disease,arthropathy,dz:271
bone disease,bronchopulmonary dysplasia,dz:918
bone disease,bronchopulmonary dysplasia,dz:919
bone disease,Cardiac Hypertrophy,dz:5
bone disease,Cardiac Hypertrophy,dz:51
bone disease,chronic obstructive pulmonary disease,dz:36
bone disease,cystic fibrosis,dz:1055
bone disease,cystic fibrosis,dz:1056
bone disease,cystic fibrosis,dz:1057
bone disease,cystic fibrosis,dz:138
bone disease,cystic fibrosis,dz:428
bone disease,cystic fibrosis,dz:65
bone disease,cystic fibrosis,dz:833
bone disease,JRA - Juvenile rheumatoid arthritis,dz:176
bone disease,juvenile rheumatoid arthritis,dz:430
bone disease,morbid obesity,dz:583
bone disease,obesity,dz:154
bone disease,obesity,dz:236
bone disease,rheumatoid arthritis,dz:110
bone disease,rheumatoid arthritis,dz:779
bone disease,Septic Shock,dz:307
bone disease,tendinitis,dz:470
bone disease,tuberculosis,dz:564
bone disease,Williams-Beuren syndrome,dz:903
bone inflammation disease,ankylosing spondylitis,dz:202
bone inflammation disease,arthritis,dz:574
bone inflammation disease,arthritis,dz:575
bone inflammation disease,arthritis,dz:576
bone inflammation disease,arthritis,dz:577
bone inflammation disease,arthritis,dz:578
bone inflammation disease,arthritis,dz:579
bone inflammation disease,arthritis,dz:580
bone inflammation disease,arthropathy,dz:271
bone inflammation disease,JRA - Juvenile rheumatoid arthritis,dz:176
bone inflammation disease,juvenile rheumatoid arthritis,dz:430
bone inflammation disease,rheumatoid arthritis,dz:110
bone inflammation disease,rheumatoid arthritis,dz:779
bone inflammation disease,Septic Shock,dz:307
bone marrow cancer,acute myeloid leukemia,dz:782
bone marrow cancer,acute myeloid leukemia,dz:783
bone marrow cancer,chronic myeloid leukemia,dz:403
bone marrow cancer,chronic myeloid leukemia,dz:501
bone marrow cancer,Down syndrome,dz:105
bone marrow cancer,Down syndrome,dz:1062
bone marrow cancer,Down syndrome,dz:1063
bone marrow cancer,Down syndrome,dz:277
bone marrow cancer,Down syndrome,dz:529
bone marrow cancer,"Leukemia, Chronic T-Cell",dz:74
bone marrow cancer,multiple myeloma,dz:561
bone marrow cancer,multiple myeloma,dz:707
bone marrow cancer,multiple myeloma,dz:787
bone marrow cancer,multiple myeloma,dz:955
bone marrow cancer,myelodysplastic syndrome,dz:747
bone marrow cancer,myelodysplastic syndrome,dz:748
bone marrow cancer,myelodysplastic syndrome,dz:749
bone marrow cancer,myelodysplastic syndrome,dz:750
bone marrow cancer,myelodysplastic syndrome,dz:812
bone marrow cancer,smoldering myeloma,dz:562
bone marrow disease,acute myeloid leukemia,dz:782
bone marrow disease,acute myeloid leukemia,dz:783
bone marrow disease,chronic myeloid leukemia,dz:403
bone marrow disease,chronic myeloid leukemia,dz:501
bone marrow disease,Down syndrome,dz:105
bone marrow disease,Down syndrome,dz:1062
bone marrow disease,Down syndrome,dz:1063
bone marrow disease,Down syndrome,dz:277
bone marrow disease,Down syndrome,dz:529
bone marrow disease,"Leukemia, Chronic T-Cell",dz:74
bone marrow disease,multiple myeloma,dz:561
bone marrow disease,multiple myeloma,dz:707
bone marrow disease,multiple myeloma,dz:787
bone marrow disease,multiple myeloma,dz:955
bone marrow disease,myelodysplastic syndrome,dz:747
bone marrow disease,myelodysplastic syndrome,dz:748
bone marrow disease,myelodysplastic syndrome,dz:749
bone marrow disease,myelodysplastic syndrome,dz:750
bone marrow disease,myelodysplastic syndrome,dz:812
bone marrow disease,smoldering myeloma,dz:562
bone remodeling disease,Cardiac Hypertrophy,dz:5
bone remodeling disease,Cardiac Hypertrophy,dz:51
brachial plexus neuropathy,motor neuritis,dz:104
brachial plexus neuropathy,Turner syndrome,dz:1059
brachydactyly,Williams-Beuren syndrome,dz:903
brain cancer,astrocytoma,dz:860
brain cancer,astrocytoma,dz:861
brain cancer,childhood type dermatomyositis,dz:771
brain cancer,childhood type dermatomyositis,dz:772
brain cancer,glioblastoma multiforme,dz:862
brain cancer,glioblastoma multiforme,dz:863
brain cancer,oligodendroglioma,dz:859
brain disease,adrenoleukodystrophy,dz:709
brain disease,adrenoleukodystrophy,dz:864
brain disease,adrenoleukodystrophy,dz:865
brain disease,astrocytoma,dz:860
brain disease,astrocytoma,dz:861
brain disease,cerebral palsy,dz:503
brain disease,cerebral palsy,dz:877
brain disease,cerebral palsy,dz:878
brain disease,cerebral palsy,dz:912
brain disease,cerebral palsy,dz:913
brain disease,childhood type dermatomyositis,dz:771
brain disease,childhood type dermatomyositis,dz:772
brain disease,cystic fibrosis,dz:1055
brain disease,cystic fibrosis,dz:1056
brain disease,cystic fibrosis,dz:1057
brain disease,cystic fibrosis,dz:138
brain disease,cystic fibrosis,dz:428
brain disease,cystic fibrosis,dz:65
brain disease,cystic fibrosis,dz:833
brain disease,diabetic neuropathy,dz:7
brain disease,diabetic retinopathy,dz:911
brain disease,dystonia,dz:329
brain disease,epilepsy syndrome,dz:417
brain disease,familial hypercholesterolemia,dz:907
brain disease,familial hypercholesterolemia,dz:908
brain disease,familial hypercholesterolemia,dz:909
brain disease,familial hypercholesterolemia,dz:910
brain disease,Generalized seizures,dz:169
brain disease,glioblastoma multiforme,dz:862
brain disease,glioblastoma multiforme,dz:863
brain disease,Huntington's disease,dz:466
brain disease,Huntington's disease,dz:527
brain disease,Huntington's disease,dz:528
brain disease,Huntington's disease,dz:632
brain disease,Huntington's disease,dz:671
brain disease,Huntington's disease,dz:702
brain disease,Huntington's disease,dz:703
brain disease,Huntington's disease,dz:717
brain disease,Huntington's disease,dz:718
brain disease,Huntington's disease,dz:719
brain disease,Huntington's disease,dz:720
brain disease,Huntington's disease,dz:722
brain disease,Huntington's disease,dz:723
brain disease,Huntington's disease,dz:724
brain disease,Huntington's disease,dz:725
brain disease,Huntington's disease,dz:726
brain disease,Huntington's disease,dz:727
brain disease,Huntington's disease,dz:728
brain disease,Huntington's disease,dz:929
brain disease,Huntington's disease,dz:930
brain disease,Huntington's disease,dz:931
brain disease,hypertension,dz:400
brain disease,intracranial aneurysm,dz:744
brain disease,oligodendroglioma,dz:859
brain disease,progressive myoclonus epilepsy,dz:516
brain disease,progressive myoclonus epilepsy,dz:517
brain disease,progressive myoclonus epilepsy,dz:518
brain disease,Rift Valley fever,dz:875
brain disease,Rift Valley fever,dz:876
brain disease,Sendai virus infection,dz:82
brain disease,West Nile fever,dz:874
brain glioma,glioblastoma multiforme,dz:862
brain glioma,glioblastoma multiforme,dz:863
brain glioma,oligodendroglioma,dz:859
brain oligodendroglioma,oligodendroglioma,dz:859
breast adenocarcinoma,breast adenocarcinoma,dz:1071
breast adenocarcinoma,invasive ductal carcinoma,dz:606
breast adenocarcinoma,invasive ductal carcinoma,dz:626
breast adenocarcinoma,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
breast adenocarcinoma,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
breast benign neoplasm,pancreatic intraductal papillary-mucinous adenoma,dz:608
breast cancer,breast adenocarcinoma,dz:1071
breast cancer,breast cancer,dz:24
breast cancer,breast cancer,dz:448
breast cancer,breast cancer,dz:478
breast cancer,breast cancer,dz:602
breast cancer,breast cancer,dz:616
breast cancer,breast cancer,dz:978
breast cancer,invasive ductal carcinoma,dz:606
breast cancer,invasive ductal carcinoma,dz:626
breast cancer,pancreatic ductal adenocarcinoma,dz:604
breast cancer,pancreatic ductal adenocarcinoma,dz:698
breast cancer,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
breast cancer,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
breast cancer,papillary thyroid carcinoma,dz:306
breast cancer,sporadic breast cancer,dz:979
breast carcinoma,breast adenocarcinoma,dz:1071
breast carcinoma,breast cancer,dz:24
breast carcinoma,breast cancer,dz:448
breast carcinoma,breast cancer,dz:478
breast carcinoma,breast cancer,dz:602
breast carcinoma,breast cancer,dz:616
breast carcinoma,breast cancer,dz:978
breast carcinoma,invasive ductal carcinoma,dz:606
breast carcinoma,invasive ductal carcinoma,dz:626
breast carcinoma,pancreatic ductal adenocarcinoma,dz:604
breast carcinoma,pancreatic ductal adenocarcinoma,dz:698
breast carcinoma,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
breast carcinoma,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
breast carcinoma,papillary thyroid carcinoma,dz:306
breast carcinoma,sporadic breast cancer,dz:979
breast carcinoma in situ,Carcinoma in situ of large intestine,dz:190
breast carcinoma in situ,ductal carcinoma in situ,dz:605
breast carcinoma in situ,invasive ductal carcinoma,dz:606
breast carcinoma in situ,invasive ductal carcinoma,dz:626
breast disease,breast adenocarcinoma,dz:1071
breast disease,breast cancer,dz:24
breast disease,breast cancer,dz:448
breast disease,breast cancer,dz:478
breast disease,breast cancer,dz:602
breast disease,breast cancer,dz:616
breast disease,breast cancer,dz:978
breast disease,Cardiac Hypertrophy,dz:5
breast disease,Cardiac Hypertrophy,dz:51
breast disease,invasive ductal carcinoma,dz:606
breast disease,invasive ductal carcinoma,dz:626
breast disease,pancreatic ductal adenocarcinoma,dz:604
breast disease,pancreatic ductal adenocarcinoma,dz:698
breast disease,pancreatic intraductal papillary-mucinous adenoma,dz:608
breast disease,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
breast disease,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
breast disease,papillary thyroid carcinoma,dz:306
breast disease,sporadic breast cancer,dz:979
breast ductal carcinoma,invasive ductal carcinoma,dz:606
breast ductal carcinoma,invasive ductal carcinoma,dz:626
breast ductal carcinoma,pancreatic ductal adenocarcinoma,dz:604
breast ductal carcinoma,pancreatic ductal adenocarcinoma,dz:698
breast lobular carcinoma,invasive ductal carcinoma,dz:606
breast lobular carcinoma,invasive ductal carcinoma,dz:626
bronchial disease,adenoma,dz:294
bronchial disease,allergic asthma,dz:436
bronchial disease,allergic asthma,dz:716
bronchial disease,asthma,dz:565
bronchial disease,asthma,dz:566
bronchial disease,asthma,dz:567
bronchial disease,asthma,dz:568
bronchial disease,asthma,dz:712
bronchial disease,asthma,dz:714
bronchial disease,asthma,dz:753
bronchial disease,chronic obstructive pulmonary disease,dz:36
bronchial disease,colon adenoma,dz:550
bronchial neoplasm,adenoma,dz:294
bronchial neoplasm,colon adenoma,dz:550
brucellosis,swine influenza,dz:498
brucellosis,swine influenza,dz:514
bullous skin disease,Psoriasis vulgaris,dz:35
bullous skin disease,Psoriasis vulgaris,dz:444
bullous skin disease,Psoriasis vulgaris,dz:93
bursitis,tendinitis,dz:470
calcinosis,ankylosing spondylitis,dz:202
calcium metabolism disease,ankylosing spondylitis,dz:202
cancer,Acute Lung Injury,dz:152
cancer,Acute Lung Injury,dz:168
cancer,acute myeloid leukemia,dz:782
cancer,acute myeloid leukemia,dz:783
cancer,acute myocarditis,dz:802
cancer,anaplastic thyroid carcinoma,dz:654
cancer,astrocytoma,dz:860
cancer,astrocytoma,dz:861
cancer,Barrett's esophagus,dz:453
cancer,Barrett's esophagus,dz:596
cancer,Barrett's esophagus,dz:643
cancer,breast adenocarcinoma,dz:1071
cancer,breast cancer,dz:24
cancer,breast cancer,dz:448
cancer,breast cancer,dz:478
cancer,breast cancer,dz:602
cancer,breast cancer,dz:616
cancer,breast cancer,dz:978
cancer,cervical cancer,dz:617
cancer,cervical cancer,dz:619
cancer,childhood type dermatomyositis,dz:771
cancer,childhood type dermatomyositis,dz:772
cancer,chronic lymphocytic leukemia,dz:194
cancer,chronic lymphocytic leukemia,dz:786
cancer,Chronic Lymphocytic Leukemia (Chronic B-lymphocytic leukemia),dz:745
cancer,chronic myeloid leukemia,dz:403
cancer,chronic myeloid leukemia,dz:501
cancer,colon cancer,dz:502
cancer,colorectal adenocarcinoma,dz:1070
cancer,colorectal adenocarcinoma,dz:595
cancer,cystic fibrosis,dz:1055
cancer,cystic fibrosis,dz:1056
cancer,cystic fibrosis,dz:1057
cancer,cystic fibrosis,dz:138
cancer,cystic fibrosis,dz:428
cancer,cystic fibrosis,dz:65
cancer,cystic fibrosis,dz:833
cancer,diffuse large B-cell lymphoma,dz:684
cancer,diffuse large B-cell lymphoma,dz:686
cancer,diffuse large B-cell lymphoma,dz:687
cancer,diffuse large B-cell lymphoma,dz:688
cancer,Down syndrome,dz:105
cancer,Down syndrome,dz:1062
cancer,Down syndrome,dz:1063
cancer,Down syndrome,dz:277
cancer,Down syndrome,dz:529
cancer,endometrial cancer,dz:838
cancer,endometrial cancer,dz:839
cancer,endometrial cancer,dz:840
cancer,endometrial cancer,dz:841
cancer,endometrial cancer,dz:842
cancer,endometrial cancer,dz:843
cancer,endometrial cancer,dz:844
cancer,endometrial cancer,dz:845
cancer,endometrial cancer,dz:846
cancer,endometrial cancer,dz:847
cancer,endometrial cancer,dz:848
cancer,endometrial cancer,dz:849
cancer,esophagus adenocarcinoma,dz:164
cancer,esophagus adenocarcinoma,dz:644
cancer,esophagus squamous cell carcinoma,dz:607
cancer,esophagus squamous cell carcinoma,dz:658
cancer,familial hypercholesterolemia,dz:907
cancer,familial hypercholesterolemia,dz:908
cancer,familial hypercholesterolemia,dz:909
cancer,familial hypercholesterolemia,dz:910
cancer,glioblastoma multiforme,dz:862
cancer,glioblastoma multiforme,dz:863
cancer,head and neck squamous cell carcinoma,dz:458
cancer,hepatitis C virus related hepatocellular carcinoma,dz:736
cancer,hepatocellular carcinoma,dz:407
cancer,hepatocellular carcinoma,dz:493
cancer,hepatocellular carcinoma,dz:554
cancer,hepatocellular carcinoma,dz:656
cancer,hepatocellular carcinoma,dz:735
cancer,intracranial aneurysm,dz:744
cancer,invasive ductal carcinoma,dz:606
cancer,invasive ductal carcinoma,dz:626
cancer,leukemia,dz:482
cancer,"Leukemia, Chronic T-Cell",dz:74
cancer,liver cirrhosis,dz:1012
cancer,Lung Injury,dz:67
cancer,Lung transplant rejection,dz:66
cancer,monoclonal gammopathy of uncertain significance,dz:563
cancer,multiple myeloma,dz:561
cancer,multiple myeloma,dz:707
cancer,multiple myeloma,dz:787
cancer,multiple myeloma,dz:955
cancer,myelodysplastic syndrome,dz:747
cancer,myelodysplastic syndrome,dz:748
cancer,myelodysplastic syndrome,dz:749
cancer,myelodysplastic syndrome,dz:750
cancer,myelodysplastic syndrome,dz:812
cancer,nasopharynx carcinoma,dz:613
cancer,nasopharynx carcinoma,dz:774
cancer,nasopharynx carcinoma,dz:775
cancer,nasopharynx carcinoma,dz:776
cancer,nasopharynx carcinoma,dz:777
cancer,nasopharynx carcinoma,dz:778
cancer,nasopharynx carcinoma,dz:808
cancer,oligodendroglioma,dz:859
cancer,ovarian serous carcinoma,dz:755
cancer,pancreatic cancer,dz:475
cancer,pancreatic cancer,dz:483
cancer,pancreatic cancer,dz:555
cancer,pancreatic cancer,dz:798
cancer,pancreatic ductal adenocarcinoma,dz:604
cancer,pancreatic ductal adenocarcinoma,dz:698
cancer,pancreatic intraductal papillary-mucinous adenoma,dz:608
cancer,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
cancer,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
cancer,papillary thyroid carcinoma,dz:306
cancer,precursor B lymphoblastic lymphoma/leukemia,dz:803
cancer,prolactinoma,dz:636
cancer,prostate cancer,dz:48
cancer,prostate cancer,dz:485
cancer,prostate cancer,dz:603
cancer,prostate cancer,dz:866
cancer,prostate cancer,dz:990
cancer,prostate cancer,dz:991
cancer,retinoblastoma,dz:455
cancer,salivary gland adenoid cystic carcinoma,dz:511
cancer,serous cystadenocarcinoma,dz:58
cancer,smoldering myeloma,dz:562
cancer,sporadic breast cancer,dz:979
cancer,Squamous cell carcinoma of mouth,dz:295
cancer,stomach cancer,dz:553
cancer,synovial sarcoma,dz:22
cancer,thymic carcinoma,dz:344
cancer,thymic carcinoma,dz:985
cancer,uterine fibroid,dz:225
cancer,uterine fibroid,dz:399
cancer,Vulvar intraepithelial tumor,dz:967
cancer,Waldenstrom Macroglobulinemia,dz:784
cancer,Waldenstrom Macroglobulinemia,dz:785
carbohydrate metabolism disease,diabetic neuropathy,dz:7
carbohydrate metabolism disease,diabetic retinopathy,dz:911
carbohydrate metabolism disease,type 1 diabetes mellitus,dz:346
carbohydrate metabolism disease,type 1 diabetes mellitus,dz:363
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:203
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:299
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:45
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:581
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:882
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:893
carbohydrate metabolism disease,type 2 diabetes mellitus,dz:895
carcinoma,anaplastic thyroid carcinoma,dz:654
carcinoma,Barrett's esophagus,dz:453
carcinoma,Barrett's esophagus,dz:596
carcinoma,Barrett's esophagus,dz:643
carcinoma,breast adenocarcinoma,dz:1071
carcinoma,cervical cancer,dz:617
carcinoma,cervical cancer,dz:619
carcinoma,colon cancer,dz:502
carcinoma,colorectal adenocarcinoma,dz:1070
carcinoma,colorectal adenocarcinoma,dz:595
carcinoma,diffuse large B-cell lymphoma,dz:684
carcinoma,diffuse large B-cell lymphoma,dz:686
carcinoma,diffuse large B-cell lymphoma,dz:687
carcinoma,diffuse large B-cell lymphoma,dz:688
carcinoma,endometrial cancer,dz:838
carcinoma,endometrial cancer,dz:839
carcinoma,endometrial cancer,dz:840
carcinoma,endometrial cancer,dz:841
carcinoma,endometrial cancer,dz:842
carcinoma,endometrial cancer,dz:843
carcinoma,endometrial cancer,dz:844
carcinoma,endometrial cancer,dz:845
carcinoma,endometrial cancer,dz:846
carcinoma,endometrial cancer,dz:847
carcinoma,endometrial cancer,dz:848
carcinoma,endometrial cancer,dz:849
carcinoma,esophagus adenocarcinoma,dz:164
carcinoma,esophagus adenocarcinoma,dz:644
carcinoma,esophagus squamous cell carcinoma,dz:607
carcinoma,esophagus squamous cell carcinoma,dz:658
carcinoma,head and neck squamous cell carcinoma,dz:458
carcinoma,hepatitis C virus related hepatocellular carcinoma,dz:736
carcinoma,hepatocellular carcinoma,dz:407
carcinoma,hepatocellular carcinoma,dz:493
carcinoma,hepatocellular carcinoma,dz:554
carcinoma,hepatocellular carcinoma,dz:656
carcinoma,hepatocellular carcinoma,dz:735
carcinoma,invasive ductal carcinoma,dz:606
carcinoma,invasive ductal carcinoma,dz:626
carcinoma,Lung Injury,dz:67
carcinoma,Lung transplant rejection,dz:66
carcinoma,monoclonal gammopathy of uncertain significance,dz:563
carcinoma,nasopharynx carcinoma,dz:613
carcinoma,nasopharynx carcinoma,dz:774
carcinoma,nasopharynx carcinoma,dz:775
carcinoma,nasopharynx carcinoma,dz:776
carcinoma,nasopharynx carcinoma,dz:777
carcinoma,nasopharynx carcinoma,dz:778
carcinoma,nasopharynx carcinoma,dz:808
carcinoma,ovarian serous carcinoma,dz:755
carcinoma,pancreatic cancer,dz:475
carcinoma,pancreatic cancer,dz:483
carcinoma,pancreatic cancer,dz:555
carcinoma,pancreatic cancer,dz:798
carcinoma,pancreatic ductal adenocarcinoma,dz:604
carcinoma,pancreatic ductal adenocarcinoma,dz:698
carcinoma,pancreatic intraductal papillary-mucinous adenoma,dz:608
carcinoma,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
carcinoma,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
carcinoma,papillary thyroid carcinoma,dz:306
carcinoma,prolactinoma,dz:636
carcinoma,prostate cancer,dz:48
carcinoma,prostate cancer,dz:485
carcinoma,prostate cancer,dz:603
carcinoma,prostate cancer,dz:866
carcinoma,prostate cancer,dz:990
carcinoma,prostate cancer,dz:991
carcinoma,salivary gland adenoid cystic carcinoma,dz:511
carcinoma,serous cystadenocarcinoma,dz:58
carcinoma,Squamous cell carcinoma of mouth,dz:295
carcinoma,stomach cancer,dz:553
carcinoma,thymic carcinoma,dz:344
carcinoma,thymic carcinoma,dz:985
carcinoma of supraglottis,Squamous cell carcinoma of mouth,dz:295
cardiomyopathy,acute myocarditis,dz:802
cardiomyopathy,alcoholic hepatitis,dz:477
cardiomyopathy,cystic fibrosis,dz:1055
cardiomyopathy,cystic fibrosis,dz:1056
cardiomyopathy,cystic fibrosis,dz:1057
cardiomyopathy,cystic fibrosis,dz:138
cardiomyopathy,cystic fibrosis,dz:428
cardiomyopathy,cystic fibrosis,dz:65
cardiomyopathy,cystic fibrosis,dz:833
cardiomyopathy,pulmonary fibrosis,dz:631
cardiomyopathy,Septic Shock,dz:307
cardiovascular organ benign neoplasm,colon adenoma,dz:550
cardiovascular organ benign neoplasm,cystic fibrosis,dz:1055
cardiovascular organ benign neoplasm,cystic fibrosis,dz:1056
cardiovascular organ benign neoplasm,cystic fibrosis,dz:1057
cardiovascular organ benign neoplasm,cystic fibrosis,dz:138
cardiovascular organ benign neoplasm,cystic fibrosis,dz:428
cardiovascular organ benign neoplasm,cystic fibrosis,dz:65
cardiovascular organ benign neoplasm,cystic fibrosis,dz:833
cardiovascular organ benign neoplasm,familial hypercholesterolemia,dz:907
cardiovascular organ benign neoplasm,familial hypercholesterolemia,dz:908
cardiovascular organ benign neoplasm,familial hypercholesterolemia,dz:909
cardiovascular organ benign neoplasm,familial hypercholesterolemia,dz:910
cardiovascular system disease,acute myocardial infarction,dz:1000
cardiovascular system disease,acute myocardial infarction,dz:1001
cardiovascular system disease,acute myocardial infarction,dz:1002
cardiovascular system disease,acute myocardial infarction,dz:1003
cardiovascular system disease,acute myocardial infarction,dz:1004
cardiovascular system disease,acute myocardial infarction,dz:1005
cardiovascular system disease,acute myocardial infarction,dz:510
cardiovascular system disease,acute myocarditis,dz:802
cardiovascular system disease,alcoholic hepatitis,dz:477
cardiovascular system disease,atherosclerosis,dz:508
cardiovascular system disease,atherosclerosis,dz:906
cardiovascular system disease,Cardiac Hypertrophy,dz:5
cardiovascular system disease,Cardiac Hypertrophy,dz:51
cardiovascular system disease,chronic obstructive pulmonary disease,dz:36
cardiovascular system disease,congestive heart failure,dz:273
cardiovascular system disease,cystic fibrosis,dz:1055
cardiovascular system disease,cystic fibrosis,dz:1056
cardiovascular system disease,cystic fibrosis,dz:1057
cardiovascular system disease,cystic fibrosis,dz:138
cardiovascular system disease,cystic fibrosis,dz:428
cardiovascular system disease,cystic fibrosis,dz:65
cardiovascular system disease,cystic fibrosis,dz:833
cardiovascular system disease,diabetic neuropathy,dz:7
cardiovascular system disease,diabetic retinopathy,dz:911
cardiovascular system disease,Generalized seizures,dz:169
cardiovascular system disease,hypertension,dz:400
cardiovascular system disease,intracranial aneurysm,dz:744
cardiovascular system disease,liver cirrhosis,dz:1012
cardiovascular system disease,nephrosclerosis,dz:905
cardiovascular system disease,pulmonary fibrosis,dz:631
cardiovascular system disease,pulmonary tuberculosis,dz:831
cardiovascular system disease,pulmonary tuberculosis,dz:832
cardiovascular system disease,Septic Shock,dz:307
cataract,diabetic neuropathy,dz:7
cataract,diabetic retinopathy,dz:911
cataract,multiple myeloma,dz:561
cataract,multiple myeloma,dz:707
cataract,multiple myeloma,dz:787
cataract,multiple myeloma,dz:955
cataract,Septic Shock,dz:307
cecal disease,appendicitis,dz:98
cell type benign neoplasm,adenoma,dz:294
cell type benign neoplasm,childhood type dermatomyositis,dz:771
cell type benign neoplasm,childhood type dermatomyositis,dz:772
cell type benign neoplasm,colon adenoma,dz:550
cell type benign neoplasm,hepatocellular carcinoma,dz:407
cell type benign neoplasm,hepatocellular carcinoma,dz:493
cell type benign neoplasm,hepatocellular carcinoma,dz:554
cell type benign neoplasm,hepatocellular carcinoma,dz:656
cell type benign neoplasm,hepatocellular carcinoma,dz:735
cell type benign neoplasm,Lung Injury,dz:67
cell type benign neoplasm,Lung transplant rejection,dz:66
cell type benign neoplasm,pancreatic intraductal papillary-mucinous adenoma,dz:608
cell type benign neoplasm,prolactinoma,dz:636
cell type benign neoplasm,prostate cancer,dz:48
cell type benign neoplasm,prostate cancer,dz:485
cell type benign neoplasm,prostate cancer,dz:603
cell type benign neoplasm,prostate cancer,dz:866
cell type benign neoplasm,prostate cancer,dz:990
cell type benign neoplasm,prostate cancer,dz:991
cell type cancer,anaplastic thyroid carcinoma,dz:654
cell type cancer,astrocytoma,dz:860
cell type cancer,astrocytoma,dz:861
cell type cancer,Barrett's esophagus,dz:453
cell type cancer,Barrett's esophagus,dz:596
cell type cancer,Barrett's esophagus,dz:643
cell type cancer,breast adenocarcinoma,dz:1071
cell type cancer,cervical cancer,dz:617
cell type cancer,cervical cancer,dz:619
cell type cancer,childhood type dermatomyositis,dz:771
cell type cancer,childhood type dermatomyositis,dz:772
cell type cancer,colon cancer,dz:502
cell type cancer,colorectal adenocarcinoma,dz:1070
cell type cancer,colorectal adenocarcinoma,dz:595
cell type cancer,cystic fibrosis,dz:1055
cell type cancer,cystic fibrosis,dz:1056
cell type cancer,cystic fibrosis,dz:1057
cell type cancer,cystic fibrosis,dz:138
cell type cancer,cystic fibrosis,dz:428
cell type cancer,cystic fibrosis,dz:65
cell type cancer,cystic fibrosis,dz:833
cell type cancer,diffuse large B-cell lymphoma,dz:684
cell type cancer,diffuse large B-cell lymphoma,dz:686
cell type cancer,diffuse large B-cell lymphoma,dz:687
cell type cancer,diffuse large B-cell lymphoma,dz:688
cell type cancer,endometrial cancer,dz:838
cell type cancer,endometrial cancer,dz:839
cell type cancer,endometrial cancer,dz:840
cell type cancer,endometrial cancer,dz:841
cell type cancer,endometrial cancer,dz:842
cell type cancer,endometrial cancer,dz:843
cell type cancer,endometrial cancer,dz:844
cell type cancer,endometrial cancer,dz:845
cell type cancer,endometrial cancer,dz:846
cell type cancer,endometrial cancer,dz:847
cell type cancer,endometrial cancer,dz:848
