mgi_symbol,hgnc_symbol
Nrsn2,NRSN2
Mei4,MEI4
Zkscan16,ZNF483
Timm13,TIMM13
Defb28,DEFB115
Slc45a2,SLC45A2
Mtmr4,MTMR4
Gadd45gip1,GADD45GIP1
Gm9992,UNC93A
Chrdl1,CHRDL1
Rpgrip1,RPGRIP1
Atxn7l3,ATXN7L3
Rnf111,RNF111
Spire2,SPIRE2
Nqo2,NQO2
Cspg5,CSPG5
4930563D23Rik,C21orf140
Gm14325,ZNF788P
Olfr63,OR10H4
Csnk2a1,CSNK2A3
Ccdc150,CCDC150
Dock6,DOCK6
Lrch4,LRCH4
Man2b2,MAN2B2
Terf1,TERF1
Cd300c2,CD300A
Cd300c2,CD300C
Serpinb6e,SERPINB6
Tmem98,TMEM98
Vamp8,VAMP8
Triqk,TRIQK
Rasgef1c,RASGEF1C
Dytn,DYTN
Rfc3,RFC3
Paxx,PAXX
Olfr1262,OR4C45
Mfsd13a,MFSD13A
Kcnk3,KCNK3
Ntsr1,NTSR1
Cfap44,CFAP44
Fxr2,FXR2
Tssk1,TSSK1B
Il2rg,IL2RG
Fam20c,FAM20C
Doc2b,DOC2B
Fam92a,FAM92A
Krt84,KRT84
Cgrrf1,CGRRF1
Npb,NPB
Pxdn,PXDN
Smim10l1,SMIM10L1
Ptdss1,PTDSS1
Atxn3,ATXN3
Grk2,GRK2
Slc32a1,SLC32A1
2010300C02Rik,KIAA1211L
Nfe2l1,NFE2L1
Tmem164,TMEM164
Serpinb9f,SERPINB9
Sptbn1,SPTBN1
Gm49383,DNAAF2
Epha4,EPHA4
Gga2,GGA2
Olfr376,OR1E1
Olfr376,OR1E2
Cog6,COG6
Fam168a,FAM168A
Mcm3ap,MCM3AP
Cwf19l2,CWF19L2
Iqub,IQUB
Zfp260,ZNF260
Zfp82,ZFP82
Zfp618,ZNF618
Serpinb1a,SERPINB1
Gm42688,CCDC142
Cndp2,CNDP2
Inpp5k,INPP5K
Taar2,TAAR2
Smim14,SMIM14
Cd5,CD5
Cox7a1,COX7A1
Dus2,DUS2
Psma8,PSMA8
Cebpg,CEBPG
Ovch2,OVCH2
Klk1b3,KLK1
Htr1b,HTR1B
Ttc21b,TTC21B
Hgfac,HGFAC
Brix1,BRIX1
Zkscan5,ZKSCAN5
Mtrf1,MTRF1
Gm614,CXorf65
Nudt11,NUDT10
Nudt11,NUDT11
Myl1,MYL1
Ppwd1,PPWD1
Olfr510,OR5P2
Srsf5,SRSF5
Snrpb2,SNRPB2
Jmjd8,JMJD8
Rps28,RPS28
Pitx1,PITX1
Sdhd,SDHD
Ctsh,CTSH
Olfr353,OR1N1
Foxj1,FOXJ1
Fgf1,FGF1
Dmac2,DMAC2
5430427O19Rik,CXorf21
Ttc23l,TTC23L
Gm18336,PNMA6F
Gm18336,PNMA6E
Pcdh8,PCDH8
Cplx2,CPLX2
Ndufaf3,NDUFAF3
Moxd1,MOXD1
Map7d3,MAP7D3
Cfap58,CFAP58
Mmrn2,MMRN2
Arhgap40,ARHGAP40
Olfr1254,OR4A8
Olfr1254,OR4A5
Dbx1,DBX1
Tbc1d19,TBC1D19
Casz1,CASZ1
Ppp2r2a,PPP2R2A
Thy1,THY1
Bach1,BACH1
Acmsd,ACMSD
Wdr45,WDR45
Ankrd63,ANKRD63
Pold1,POLD1
Ctsa,CTSA
Olfr495,OR5P2
Sct,SCT
Fam46a,TENT5A
Olfr391-ps,OR1E1
Olfr391-ps,OR1E2
Nucb1,NUCB1
Ccl24,CCL24
Klhdc2,KLHDC2
Kirrel3,KIRREL3
Arhgef28,ARHGEF28
Grin2a,GRIN2A
Slc43a1,SLC43A1
Vapa,VAPA
Wapl,WAPL
Zfp969,ZNF788P
Mylpf,MYLPF
Zfp462,ZNF462
Atad2b,ATAD2B
Rtl4,RTL4
Jakmip2,JAKMIP2
Tmem64,TMEM64
1700021F05Rik,C6orf203
Pomgnt2,POMGNT2
Esrp2,ESRP2
Afap1l2,AFAP1L2
Sirpb1c,SIRPG
Sirpb1c,SIRPA
Gpr180,GPR180
Lyg2,LYG2
Ube2v2,UBE2V2
Dnm1,DNM1
Vmn1r234,VN1R4
Ptpn6,PTPN6
Tnfrsf17,TNFRSF17
Gm14391,ZNF788P
Mettl17,METTL17
Acap3,ACAP3
Smchd1,SMCHD1
Chrm5,CHRM5
Adcyap1,ADCYAP1
Nemp1,NEMP1
Arc,ARC
Gja3,GJA3
Mia2,CTAGE1
Ptpn12,PTPN12
Grpr,GRPR
Siglec15,SIGLEC15
Mrrf,MRRF
Fam184b,FAM184B
Taf2,TAF2
S100z,S100Z
Orc6,ORC6
Dlg5,DLG5
Klhl31,KLHL31
Dnaaf2,DNAAF2
Olfml1,OLFML1
Gm45015,PNMA6F
Gm45015,PNMA6E
Trim44,TRIM44
Acbd4,ACBD4
Nmt2,NMT2
Slc25a29,SLC25A29
Pcnx,PCNX1
Zfp94,ZNF45
Capn13,CAPN13
Zfp64,ZFP64
Amph,AMPH
Zfp831,ZNF831
Spry4,SPRY4
Snf8,SNF8
Slc5a2,SLC5A2
Klf10,KLF10
Evi2b,EVI2B
2310057M21Rik,C10orf88
Abhd3,ABHD3
Mapk9,MAPK9
Utp15,UTP15
Lgals3,LGALS3
Olfr385,OR1E1
Olfr385,OR1E2
Dcaf11,DCAF11
Ankrd36,POTEC
H2-Ke6,HSD17B8
Ipo4,IPO4
Spata31d1c,SPATA31D3
Spata31d1c,SPATA31D4
Spata31d1c,SPATA31D1
Slc27a2,SLC27A2
Nudt5,NUDT5
Tpst2,TPST2
Slc12a1,SLC12A1
Hepacam,HEPACAM
Gm14419,ZNF788P
Tpo,TPO
Ankrd2,ANKRD2
Ddx52,DDX52
Sf3b5,SF3B5
Rtkn,RTKN
Gm11437,C17orf78
Snph,SNPH
Cib4,CIB4
Mrpl15,MRPL15
Urm1,URM1
Pfdn4,PFDN4
Ern2,ERN2
Fam169a,FAM169A
Gpaa1,GPAA1
Ranbp9,RANBP9
Elovl5,ELOVL5
Psd3,PSD3
Ccr7,CCR7
Atp6ap2,ATP6AP2
Cnot9,CNOT9
Cryaa,CRYAA
Wrap53,WRAP53
Zfp119b,ZNF788P
Dda1,DDA1
Camk2b,CAMK2B
Mmp11,MMP11
Prkd2,PRKD2
Fbxl19,FBXL19
A630089N07Rik,ZNF788P
Gm4631,ZNF788P
Sntb1,SNTB1
Foxn1,FOXN1
Ska3,SKA3
Gng7,GNG7
Ccl26,CCL26
Lman2,LMAN2
Kctd15,KCTD15
Qrsl1,QRSL1
Mefv,MEFV
Mex3d,MEX3D
Tbx20,TBX20
Kif21a,KIF21A
Loxl1,LOXL1
Nedd4,NEDD4
Xpo4,XPO4
Lypla2,LYPLA2
Tbc1d31,TBC1D31
Gm14459,SSX5
Gm14459,SSX1
Gm14459,SSX3
Gm14459,SSX4
Gm14459,SSX4B
Cdh17,CDH17
Olfr1259,OR4C12
4930505A04Rik,C2orf73
Slc28a3,SLC28A3
A530032D15Rik,SP140
Lgalsl,LGALSL
Etnk1,ETNK1
Trim25,TRIM25
Rps5,RPS5
Slc7a4,SLC7A4
Ptrhd1,PTRHD1
Camta1,CAMTA1
Magohb,MAGOHB
Ophn1,OPHN1
Olfr394,OR1E1
Olfr394,OR1E2
Limch1,LIMCH1
Setd1a,SETD1A
Dkkl1,DKKL1
Wdr81,WDR81
Zbtb48,ZBTB48
Sftpd,SFTPD
Ppp2r1a,PPP2R1A
Chrnd,CHRND
Mrps26,MRPS26
Alkbh8,ALKBH8
Tfip11,TFIP11
Cdkal1,CDKAL1
Snx29,SNX29
Il18,IL18
Fam184a,FAM184A
Klb,KLB
1500011K16Rik,SMIM37
Src,SRC
Rab23,RAB23
Tas2r130,TAS2R7
Swi5,SWI5
Tusc2,TUSC2
Siah1b,SIAH1
Cacfd1,CACFD1
Gdf15,GDF15
Anapc11,ANAPC11
Pcmtd1,PCMTD1
Hsd3b7,HSD3B7
Npr3,NPR3
Fgf22,FGF22
Cbs,CBSL
Cbs,CBS
Ninj1,NINJ1
Tnk1,TNK1
Rnaset2a,RNASET2
Vps54,VPS54
Tmem177,TMEM177
Zcchc2,ZCCHC2
Dync1i1,DYNC1I1
Armc3,ARMC3
Igll1,IGLL1
Vmn1r233,VN1R4
Irak1bp1,IRAK1BP1
Olfr393,OR1E1
Olfr393,OR1E2
Cul7,CUL7
Pja1,PJA1
Irgm2,IRGM
Gmfb,GMFB
Rmi1,RMI1
Scpep1,SCPEP1
Fxyd6,FXYD6
Fxyd6,FXYD6-FXYD2
Krt6a,KRT6B
Krt6a,KRT6C
Krt6a,KRT6A
Msc,MSC
Cdc123,CDC123
Gm2004,ZNF788P
Proser2,PROSER2
Clptm1l,CLPTM1L
Emg1,EMG1
Kcne1,KCNE1
Dgkk,DGKK
Fbxl17,FBXL17
Vnn3,VNN3
Eps8l2,EPS8L2
Mzb1,MZB1
Dhx35,DHX35
Tada2b,TADA2B
6430573F11Rik,TRMT9B
Pkd1,PKD1
Eif3d,EIF3D
Olfr547,OR52B4
Acsm4,ACSM4
Vgll4,VGLL4
Idh3g,IDH3G
Clrn2,CLRN2
4933411K16Rik,C10orf62
Alox12,ALOX12
Mfsd2b,MFSD2B
Lztr1,LZTR1
Gpc6,GPC6
Mlh1,MLH1
Nipbl,NIPBL
A430105I19Rik,CCDC9B
Nfkb2,NFKB2
Lrrc17,LRRC17
2310034G01Rik,C10orf95
Lamp2,LAMP2
Txndc9,TXNDC9
Myom3,MYOM3
Psmb8,PSMB8
Ppp1r9a,PPP1R9A
Ttc12,TTC12
Fgfr4,FGFR4
Il4,IL4
Dagla,DAGLA
Adgrg4,ADGRG4
Rab6a,RAB6A
Prdx5,PRDX5
Txnrd2,TXNRD2
Slc39a7,SLC39A7
Wfs1,WFS1
Far1,FAR1
Apool,APOOL
Tmeff2,TMEFF2
Spi1,SPI1
Gm14393,ZNF788P
Jagn1,JAGN1
Pemt,PEMT
Igf2,IGF2
Cox19,COX19
Cdh19,CDH19
Gas8,GAS8
Gm7697,POTEC
Nipsnap1,NIPSNAP1
Evi2,EVI2B
Fam3b,FAM3B
Rps6kl1,RPS6KL1
Sri,SRI
Zfp747,ZNF747
Zfp747,ZNF764
Arhgap12,ARHGAP12
Nat8,NAT8
Sgo1,SGO1
Tra2a,TRA2A
H2-Aa,HLA-DQA2
Sigirr,SIGIRR
Diras2,DIRAS2
Krt36,KRT36
Clybl,CLYBL
Mrpl30,MRPL30
Spink4,SPINK4
Olfr1274-ps,OR4X2
Slc16a12,SLC16A12
Mafa,MAFA
Aspa,ASPA
Zfp282,ZNF282
Epb41l5,EPB41L5
Ch25h,CH25H
Slc6a2,SLC6A2
Zfp937,ZNF788P
Rtel1,RTEL1-TNFRSF6B
Golga2,GOLGA2
Golga2,GOLGA8J
Golga2,GOLGA8T
Golga2,GOLGA8A
Prr5l,PRR5L
Zdhhc11,ZDHHC11
Cryba4,CRYBA4
Zfp553,ZNF48
Tssk4,TSSK4
Zfp169,ZNF169
Isoc1,ISOC1
Nr2c2ap,NR2C2AP
Derl3,DERL3
Gm27179,ERVFRD-1
Ammecr1,AMMECR1
Cwh43,CWH43
Fkbp14,FKBP14
Baiap3,BAIAP3
Ptgir,PTGIR
Rgs10,RGS10
Krt35,KRT35
4930415L06Rik,PPP4R3C
Abca9,ABCA9
Pdk4,PDK4
Eif2b2,EIF2B2
Mlx,MLX
Irgq,IRGQ
Zfp715,ZNF81
Fancf,FANCF
Igkv10-94,IGKV1OR2-108
Btbd10,BTBD10
Sufu,SUFU
Palm,PALM
Letm2,LETM2
Zcchc24,ZCCHC24
Rps12,RPS12
Ccl6,CCL15
Ccl6,CCL15-CCL14
Ccl6,CCL23
1700021F07Rik,C20orf85
Psd4,PSD4
Sidt1,SIDT1
Sgce,SGCE
Itga8,ITGA8
Tmem132a,TMEM132A
Gapvd1,GAPVD1
Unc5d,UNC5D
Plcz1,PLCZ1
Lpl,LPL
Prrt1,PRRT1
Gm6169,PLP2
Scn4a,SCN4A
Mageb3,MAGEB6B
Mageb3,MAGEB6
Abhd6,ABHD6
Ick,ICK
Bptf,BPTF
Fam220a,FAM220A
Dctn1,DCTN1
Bbox1,BBOX1
Gmpr2,GMPR2
Cbx8,CBX8
Foxred2,FOXRED2
Igflr1,IGFLR1
Gm21304,ALYREF
Lsm14a,LSM14A
Catsper2,CATSPER2
Nipa2,NIPA2
Syt9,SYT9
Nudt3,NUDT3
Gm9733,SIRPG
Gm9733,SIRPA
Mrpl23,MRPL23
Napg,NAPG
Map3k9,MAP3K9
Esrra,ESRRA
Reep6,REEP6
Arfrp1,ARFRP1
Pvalb,PVALB
Ggt1,GGTLC3
Ikzf5,IKZF5
Txndc2,TXNDC2
Bckdha,BCKDHA
Tmub2,TMUB2
Tspan4,TSPAN4
Mlh3,MLH3
Pla2g4b,JMJD7-PLA2G4B
Pla2g4b,PLA2G4B
Lime1,LIME1
S1pr5,S1PR5
Syne2,SYNE2
Pnpla1,PNPLA1
Nhlrc3,NHLRC3
Fbxo18,FBH1
Zbp1,ZBP1
Amh,AMH
Mep1b,MEP1B
Spata31d1b,SPATA31D3
Spata31d1b,SPATA31D4
Spata31d1b,SPATA31D1
Siah1a,SIAH1
Fjx1,FJX1
Arih2,ARIH2
Pdf,PDF
Flot1,FLOT1
Mpdu1,MPDU1
Pard6g,PARD6G
2610028H24Rik,C21orf58
Med6,MED6
Slc44a2,SLC44A2
Cdc40,CDC40
,ZNF789
Plek2,PLEK2
Dpy19l1,DPY19L1
Oip5,OIP5
Atp5e,ATP5F1E
Cxcl17,CXCL17
Chrng,CHRNG
Tmem51,TMEM51
Avpi1,AVPI1
Sf3b1,SF3B1
Il15ra,IL15RA
Gm5426,ATP5MGL
Gm5426,ATP5MG
Slc25a38,SLC25A38
Polr1c,POLR1C
Sdr42e1,SDR42E1
Psap,PSAP
Spata24,SPATA24
Ube2m,UBE2M
Rdh11,RDH11
Catsperz,CATSPERZ
Nap1l2,NAP1L2
Narf,NARF
Tlx2,TLX2
Cx3cr1,CX3CR1
Sox21,SOX21
Acadl,ACADL
B3gat1,B3GAT1
Arid4a,ARID4A
Irs4,IRS4
Cyp17a1,CYP17A1
Grb14,GRB14
Fbxo47,FBXO47
Olfr470,OR5P2
Nelfcd,NELFCD
Trpa1,TRPA1
Rhpn2,RHPN2
Tff2,TFF2
Gtdc1,GTDC1
Tacc1,TACC1
Gldc,GLDC
Brms1,BRMS1
Mapkbp1,MAPKBP1
Srpr,SRPRA
Mrpl28,MRPL28
Slco2b1,SLCO2B1
Rbm12,RBM12
Thap3,THAP3
Gadd45b,GADD45B
Gm20605,LRCH4
Rc3h2,RC3H2
Krt83,KRT83
Gfi1b,GFI1B
Adam33,ADAM33
Vps18,VPS18
Ttc36,TTC36
Slc35a4,SLC35A4
Krt71,KRT71
Stx7,STX7
Sp4,SP4
Dok1,DOK1
Lhx1,LHX1
Gm5814,MRFAP1
Pvr,PVR
Plpp4,PLPP4
Mogs,MOGS
Irgm1,IRGM
Jhy,JHY
Pstpip2,PSTPIP2
Slc27a5,SLC27A5
Myl4,MYL4
Sp140,SP140
Slc4a11,SLC4A11
Bub1b,BUB1B
Rph3al,RPH3AL
Scrn1,SCRN1
Tas2r113,TAS2R14
Olfr350,OR1J4
Ccdc166,CCDC166
Tyro3,TYRO3
Tal2,TAL2
Wdr89,WDR89
Klrg1,KLRG1
Coil,COIL
Ets2,ETS2
Ssxb1,SSX5
Ssxb1,SSX1
Ssxb1,SSX3
Ssxb1,SSX4
Ssxb1,SSX4B
Ccr10,CCR10
Trappc2l,TRAPPC2L
Ifna5,IFNA21
Ifna5,IFNA4
Ifna5,IFNA7
Ifna5,IFNA14
Ifna5,IFNA10
Ifna5,IFNA17
Ifna5,IFNA16
Ifna5,IFNA5
Ifna5,IFNA6
Ifna5,IFNA13
Ifna5,IFNA2
Ifna5,IFNA8
Ifna5,IFNA1
Serpinb9d,SERPINB9
Hspa4,HSPA4
Ptprj,PTPRJ
Usp42,USP42
Plch2,PLCH2
Synpo,SYNPO
Olfr1260,OR4C5
Ggn,GGN
Fos,FOS
Ssxa1,SSX5
Ssxa1,SSX1
Ssxa1,SSX3
Ssxa1,SSX4
Ssxa1,SSX4B
Drd4,DRD4
Tmem74b,TMEM74B
Psca,PSCA
Cyp2b10,CYP2B6
Kcnh5,KCNH5
Impa2,IMPA2
Gm5592,C2orf78
Zhx2,ZHX2
Pdpk1,PDPK1
Lsp1,LSP1
Fbxw10,CDRT1
Ppib,PPIB
Satb1,SATB1
Lgals3bp,LGALS3BP
Trappc12,TRAPPC12
Tns4,TNS4
Srgn,SRGN
Olfr1506,OR4X2
Nat8f1,NAT8
Nsg2,NSG2
Tmem254b,TMEM254
Chrdl2,CHRDL2
Gm20939,ZNF788P
Eya1,EYA1
Rpa3,RPA3
Ctr9,CTR9
Rps6ka6,RPS6KA6
Pcca,PCCA
Nudt10,NUDT10
Nudt10,NUDT11
Armcx5,ARMCX5
Bmpr1a,BMPR1A
Fam185a,FAM185A
Fam221a,FAM221A
Dynlrb1,DYNLRB1
Suv39h2,SUV39H2
Dct,DCT
Gm14296,ZNF788P
Snx11,SNX11
Gm5150,SIRPG
Gm5150,SIRPA
Spock2,SPOCK2
Dmrtc2,DMRTC2
Prdx4,PRDX4
Gca,GCA
Ubtd1,UBTD1
Map3k14,MAP3K14
Dnaic1,DNAI1
Zfp365,ZNF365
Cyp2b9,CYP2B6
Peg3,PEG3
Kndc1,KNDC1
Borcs7,BORCS7-ASMT
Borcs7,BORCS7
Olfr498,OR5P2
Commd10,COMMD10
Tango6,TANGO6
Galnt15,GALNT15
Srd5a2,SRD5A2
Olfm4,OLFM4
Kif5c,KIF5C
Igkv9-124,IGKV1OR2-108
Cyp1b1,CYP1B1
Folh1,FOLH1
Nutf2-ps1,NUTF2
Nat2,NAT1
Nat2,NAT2
Bcl2,BCL2
Cpsf4,CPSF4
S100g,S100G
Map2k3,MAP2K3
4930524B15Rik,C5orf47
1700001C02Rik,C2orf70
Spam1,SPAM1
Enoph1,ENOPH1
Kbtbd7,KBTBD7
Wdr48,WDR48
Mylk4,MYLK4
Cbx1,CBX1
Fads2,FADS2
Hcn4,HCN4
Grk4,GRK4
Snx6,SNX6
Rfx7,RFX7
Klf4,KLF4
Cnih2,CNIH2
Adamts19,ADAMTS19
Trim29,TRIM29
6030468B19Rik,C17orf99
Ckmt2,CKMT2
Btnl10,BTN3A1
Btnl10,BTN3A3
B3gnt8,B3GNT8
Cyp20a1,CYP20A1
Isyna1,ISYNA1
Emp2,EMP2
Gale,GALE
Penk,PENK
Trip4,TRIP4
Ppfibp2,PPFIBP2
Serpinb9e,SERPINB9
Hmgcl,HMGCL
Tbxa2r,TBXA2R
Bphl,BPHL
Sh3kbp1,SH3KBP1
Slc10a1,SLC10A1
Atn1,ATN1
Tnrc6c,TNRC6C
Ttk,TTK
Mageb1,MAGEB6B
Mageb1,MAGEB6
Trim27,TRIM27
Fbxo16,FBXO16
Samd4,SAMD4A
Clec4g,CLEC4G
Gorasp1,GORASP1
Pnma3,PNMA3
Nat8f2,NAT8
Nhlrc1,NHLRC1
Nfatc3,NFATC3
Nat8f6,NAT8
Galns,GALNS
Pknox2,PKNOX2
Nuggc,NUGGC
Kif5b,KIF5B
Ssxb10,SSX5
Ssxb10,SSX1
Ssxb10,SSX3
Ssxb10,SSX4
Ssxb10,SSX4B
Tnip1,TNIP1
Engase,ENGASE
Clvs1,CLVS1
Dok7,DOK7
Rtkn2,RTKN2
Aatk,AATK
Ciz1,CIZ1
Tmed6,TMED6
Zfp182,ZNF182
Slit3,SLIT3
Rfpl4,RFPL1
Chl1,CHL1
Olfr1256,OR4A47
Eml6,EML6
Nrg2,NRG2
Zswim3,ZSWIM3
Pon3,PON3
Amacr,AMACR
Diaph3,DIAPH3
Eepd1,EEPD1
9130019O22Rik,ZNF747
9130019O22Rik,ZNF764
Itih2,ITIH2
Rpn2,RPN2
Gm4303,ALYREF
Slc27a6,SLC27A6
Gpc3,GPC3
Orc4,ORC4
Carm1,CARM1
Dgat2l6,DGAT2L6
Krt86,KRT83
Dimt1,DIMT1
Esrp1,ESRP1
Ndufa5,NDUFA5
Magea2,MAGEA1
Otof,OTOF
Ndst1,NDST1
Prss57,PRSS57
Cd40lg,CD40LG
Dlg2,DLG2
Mrpl13,MRPL13
Gclc,GCLC
Gm572,C1orf127
Hspb3,HSPB3
Il1rn,IL1RN
Naxd,NAXD
Upk1a,UPK1A
Zfp217,ZNF217
Prdm14,PRDM14
Pola1,POLA1
Nphp1,NPHP1
Prpf31,PRPF31
Tars,TARS
Zap70,ZAP70
Ccdc15,CCDC15
Ahcy,AHCY
Deptor,DEPTOR
Cpne8,CPNE8
Nfkbil1,NFKBIL1
Prr29,PRR29
Adam22,ADAM22
Plcd4,PLCD4
Bcor,BCOR
Hacd3,HACD3
Sbspon,SBSPON
Mgat2,MGAT2
Stub1,STUB1
Gm17655,ZNF788P
Pla2g16,PLA2G16
Kmt5c,KMT5C
0610030E20Rik,C2orf68
Cfap74,CFAP74
Smim17,SMIM17
Usp37,USP37
Pdha1,PDHA1
Atg16l2,ATG16L2
Phactr3,PHACTR3
Itsn2,ITSN2
Syt16,SYT16
Drc7,DRC7
Tuba1a,TUBA1A
Eif5b,EIF5B
Gm14418,ZNF788P
Folr1,FOLR1
Rfng,RFNG
Aldh5a1,ALDH5A1
Fchsd2,FCHSD2
Gng8,GNG8
Plcb3,PLCB3
Igkv14-126,IGKV1OR2-108
Zfp867,ZNF844
Zfp867,ZNF625
Zfp867,ZNF20
Zfp867,ZNF136
Zfp867,ZNF44
Smim3,SMIM3
Hexim1,HEXIM1
Mymx,MYMX
Col9a3,COL9A3
Cdk5r1,CDK5R1
Myocd,MYOCD
Tmem86a,TMEM86A
Kmt2a,KMT2A
Rhbdl1,RHBDL1
Dmxl1,DMXL1
Maf1,MAF1
Gm14401,ZNF788P
Syt12,SYT12
Rec8,REC8
Cd209a,CD209
Cd209a,CLEC4M
Gtf3c4,GTF3C4
Gm20715,SMIM17
Adgrg2,ADGRG2
Edn1,EDN1
Pltp,PLTP
Chchd7,CHCHD7
Rad23a,RAD23A
Vip,VIP
Csnk1e,TPTEP2-CSNK1E
Csnk1e,CSNK1E
Cd3g,CD3G
Bckdhb,BCKDHB
Dydc1,DYDC1
Ttll2,TTLL2
Maml2,MAML2
Angptl8,ANGPTL8
Fut9,FUT9
Sppl2b,SPPL2B
Rpp14,RPP14
Cd209d,CD209
Cd209d,CLEC4M
Pdyn,PDYN
Inha,INHA
Ddo,DDO
Tti1,TTI1
1600012H06Rik,C6orf120
Wdr45b,WDR45B
Rnasek,RNASEK
H2afy,H2AFY
Pcdh17,PCDH17
Comt,COMT
Dnajc25,DNAJC25
Nyap1,NYAP1
Enpp7,ENPP7
Arvcf,ARVCF
Elf1,ELF1
Camk2g,CAMK2G
Fam104a,FAM104A
Apobec1,APOBEC1
Myo1b,MYO1B
Gpc4,GPC4
Kremen1,KREMEN1
Prkar1a,PRKAR1A
Ambp,AMBP
Rab3gap1,RAB3GAP1
Tuba1c,TUBA1C
Rbm12b1,RBM12B
Map4k2,MAP4K2
Ccr6,CCR6
Dhx30,DHX30
Tmem184b,TMEM184B
Pdap1,PDAP1
Pkdcc,PKDCC
Mob1b,MOB1B
Pck1,PCK1
Pnmal2,PNMA8B
Nabp1,NABP1
Zcchc10,ZCCHC10
Fmnl2,FMNL2
Dis3l,DIS3L
St18,ST18
Gpx1,GPX1
Atp1b4,ATP1B4
Dmrt1,DMRT1
Spats1,SPATS1
Abhd5,ABHD5
Gm2007,ZNF788P
Syt8,SYT8
Ube2s,UBE2S
Dnajc10,DNAJC10
Cuedc2,CUEDC2
Prr15,PRR15
Nutm2,NUTM2B
Nutm2,NUTM2E
Nutm2,NUTM2A
Nutm2,NUTM2F
Nutm2,NUTM2D
Sil1,SIL1
Dido1,DIDO1
Gcm1,GCM1
Kcnj12,KCNJ12
Tm9sf4,TM9SF4
Nkiras1,NKIRAS1
Adig,ADIG
Nedd9,NEDD9
Slc4a3,SLC4A3
Pde1a,PDE1A
Gm4312,ALYREF
Morn5,MORN5
Nat8f4,NAT8
Mfsd7a,SLC49A3
Cct8,CCT8
Gpr31b,GPR31
Actr5,ACTR5
Kctd4,KCTD4
Ccdc82,CCDC82
Acbd7,ACBD7
Olfr486,OR5P2
Atp6v0c,ATP6V0C
Gm4737,AHCY
Chchd10,CHCHD10
Poln,POLN
Tas2r116,TAS2R14
Nat8f3,NAT8
Olfr368,OR5C1
Nanog,NANOG
AU019823,NKAPD1
L1cam,L1CAM
Phtf2,PHTF2
Paqr5,PAQR5
Arntl2,ARNTL2
Spty2d1,SPTY2D1
Pip4k2a,PIP4K2A
Ppp1r15a,PPP1R15A
Eral1,ERAL1
Prlh,PRLH
Wars,WARS
Rilp,RILP
Echdc3,ECHDC3
Dock2,DOCK2
Map3k19,MAP3K19
Tas2r102,TAS2R13
Sfpq,SFPQ
Slc6a1,SLC6A1
Myo10,MYO10
Slc35f2,SLC35F2
Anapc16,ANAPC16
Rnf130,RNF130
Apoo,APOO
Lzts1,LZTS1
Sltm,SLTM
Dpep2,DPEP2
Pex26,PEX26
Hif3a,HIF3A
Tas2r129,TAS2R14
Ifnb1,IFNB1
Hsf5,HSF5
Chst3,CHST3
Ano10,ANO10
Mageb4,MAGEB2
Mageb4,MAGEB4
Mageb4,MAGEB1
Shmt1,SHMT1
Slc24a1,SLC24A1
Lct,LCT
Pdp1,PDP1
Hoxb3,HOXB3
Stc2,STC2
4933402N03Rik,C10orf120
Rab9,RAB9A
Pigs,PIGS
Ints9,INTS9
Psmf1,PSMF1
Vgll1,VGLL1
Cers4,CERS4
Dner,DNER
Slc9b2,SLC9B2
Xkr4,XKR4
Xiap,BIRC8
Dpysl3,DPYSL3
Inpp4a,INPP4A
Pgf,PGF
Mxd3,MXD3
Egln2,EGLN2
Lrrc10b,LRRC10B
Txndc11,TXNDC11
Nrn1l,NRN1L
Zfp276,ZNF276
Cyb5d2,CYB5D2
Ifna12,IFNA21
Ifna12,IFNA4
Ifna12,IFNA7
Ifna12,IFNA14
Ifna12,IFNA10
Ifna12,IFNA17
Ifna12,IFNA16
Ifna12,IFNA5
Ifna12,IFNA6
Ifna12,IFNA13
Ifna12,IFNA2
Ifna12,IFNA8
Ifna12,IFNA1
Rhbdd3,RHBDD3
Fam221b,FAM221B
Nrl,NRL
Gm28042,JMJD7-PLA2G4B
Gm28042,PLA2G4B
Mrpl57,MRPL57
Mcidas,MCIDAS
Kcnab2,KCNAB2
Zc3h7a,ZC3H7A
Zfp950,ZNF788P
Dhx38,DHX38
Olfr364-ps1,OR1L4
Olfr364-ps1,OR1L6
Camsap3,CAMSAP3
Plac9b,PLAC9
Hnrnpc,HNRNPC
Sirt5,SIRT5
Pclaf,PCLAF
Rbm45,RBM45
Leo1,LEO1
E2f5,E2F5
Cpne6,CPNE6
Magea3,MAGEA1
Psmb5,PSMB5
Rfc2,RFC2
Usp6nl,USP6NL
Mtrf1l,MTRF1L
Olfr161,OR1F1
Prkx,PRKX
Tubg2,TUBG2
Iglc1,IGLL1
Thbs2,THBS2
Wdr25,WDR25
Daglb,DAGLB
Kat5,KAT5
Unc50,UNC50
2610507B11Rik,KIAA0100
Sephs2,SEPHS2
Gfra2,GFRA2
Tyw1,TYW1B
Dmrt2,DMRT2
Rapsn,RAPSN
Zmynd10,ZMYND10
Spice1,SPICE1
Ptprn,PTPRN
Edn3,EDN3
Zfp764,ZNF747
Zfp764,ZNF764
Epm2aip1,EPM2AIP1
Rapgef4,RAPGEF4
Acsl4,ACSL4
Dlst,DLST
Znrf3,ZNRF3
Nf1,NF1
Slc1a2,SLC1A2
A4galt,A4GALT
